Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Lithuania,LTU,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,96.2245552074473,96.9677035208881,96.6100006103516,97.3246418978853,97.4681645682859,97.9198353967491,..
Lithuania,LTU,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,55.7568509591945,56.8808513677269,58.0400009155273,61.0075300154104,62.7691786224284,63.2298248108922,..
Lithuania,LTU,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,99.0596320849389,99.1986341339994,99.2099990844727,99.3767975399331,99.2762117193576,99.3816711554173,..
Lithuania,LTU,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,..,..,..,..,..,..
Lithuania,LTU,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,88.5540465271884,89.6794919346865,89.870002746582,91.1112647101831,91.9949045446213,92.4704079528139,..
Lithuania,LTU,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,13.9226776787707,14.1827157380628,14.5900001525879,14.7961178148121,15.7001319446114,15.7790359135306,..
Lithuania,LTU,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,0.553606985268095,0.599531109398897,0.850000023841858,0.738890764471358,0.724088705361833,0.623845609745795,..
Luxembourg,LUX,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,35.3018707883265,37.1256471674156,37.1187051096982,41.5808857989599,42.0351303246455,41.8519604082982,..
Luxembourg,LUX,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,90.1471173615715,90.9949631657133,90.2670538900954,89.739000457396,90.7294878098936,90.6741832624432,..
Luxembourg,LUX,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,41.8547225915425,43.8946086549519,43.5118509575356,47.7181964390899,48.8751556096278,48.4878486878467,..
Luxembourg,LUX,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,99.6777604333952,99.5684112347497,99.5377333980013,97.5693281305617,98.7126616830388,98.2765808369639,..
Luxembourg,LUX,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,41.4879760527328,41.1987966353667,45.4067312695283,46.6255503906397,46.4149276409813,..
Luxembourg,LUX,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,73.0939711225684,74.2218570973786,73.6529926130647,77.0716476137358,77.2889265155403,77.2197850510892,..
Luxembourg,LUX,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,21.9755033468546,23.5979337164405,23.7872993187663,27.8406710460557,28.016910755968,29.1408519168398,..
Luxembourg,LUX,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,2.14295566923035,1.78018136559204,2.09725350726211,2.33258272714198,2.92270963064141,2.84207672301988,..
Moldova,MDA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,20.1200008392334,20.0499992370606,20.1900005340576,20.4300003051758,20.3899993896484,20.9641449953977,22.5620785775415
Moldova,MDA,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,97.2900009155273,96.9599990844727,97.5400009155273,97.9199981689453,98.25,98.2920155080211,98.3079945590451
Moldova,MDA,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,20.3879428561716,20.9641449953977,22.5620785775415
