Variable code,Variable,Helper,Scale,Missing/Omitted,Questionnaire Type,2023,2024,Change,Matched,Category,Add to Master
ASBLHSES,Home Socioeconomic Status/SCL (2024),Home Socioeconomic Status/SCL,,999999: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASDHEDUP,Parents' Highest Education Level (2023),Parents' Highest Education Level,1: University or Higher; 2: Post-Secondary Education but not University; 3: Upper Secondary; 4: Lower Secondary; 5: Some Primary or Lower Secondary or Did not go to School; 6: Not Applicable,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASDLHEDUP,Parents' Highest Education Level (2024),Parents' Highest Education Level,1: University or Higher; 2: Post-Secondary Education but not University; 3: Upper Secondary; 4: Lower Secondary; 5: Some Primary or Lower Secondary or Did not go to School; 6: Not Applicable,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ASDHOCCP,Parents' Occupation (2023),Parents' Occupation,1: Professional; 2: Small Business Owner; 3: Clerical; 4: Skilled Worker; 5: General Laborer; 6: Never Worked for Pay; 7: Not Applicable;,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,✓,,Both,,Home SES,
ASDLHOCCP,Parents' Occupation (2024),Parents' Occupation,1: Professional; 2: Small Business Owner; 3: Clerical; 4: Skilled Worker; 5: General Laborer; 6: Never Worked for Pay; 7: Not Applicable;,9: Omitted or invalid; SYSMIS: Not administered,Home Questionnaire,,✓,Both,,Home SES,
ACBG06C,GEN\INSTRUCTIONAL DAYS IN 1 CALENDER WEEK (2023),GEN\INSTRUCTIONAL DAYS IN 1 CALENDER WEEK,1: 6 days; 2: 5 1/2 days; 3: 5 days; 4: 4 1/2 days; 5: 4 days; 6: Other,9: Omitted or invalid; Sysmis: Not administered,School Questionnaire,✓,,Both,,Instructional Days,
ACBLG04C,GEN\INSTRUCTIONAL DAYS IN 1 CALENDER WEEK (2024),GEN\INSTRUCTIONAL DAYS IN 1 CALENDER WEEK,1: 6 days; 2: 5 1/2 days; 3: 5 days; 4: 4 1/2 days; 5: 4 days; 6: Other,9: Omitted or invalid; Sysmis: Not administered,School Questionnaire,,✓,Both,,Instructional Days,
ACBG06A,GEN\INSTRUCTIONAL DAYS PER YEAR (2023),GEN\INSTRUCTIONAL DAYS PER YEAR,,999: Omitted or invalid; Sysmis: Not administered,School Questionnaire,✓,,Both,,Instructional Days,
ACBLG04A,GEN\INSTRUCTIONAL DAYS PER YEAR (2024),GEN\INSTRUCTIONAL DAYS PER YEAR,,999: Omitted or invalid; Sysmis: Not administered,School Questionnaire,,✓,Both,,Instructional Days,
ACBG06B,GEN\TOTAL INSTRUCTIONAL TIME (2023),GEN\TOTAL INSTRUCTIONAL TIME,,999: Omitted or invalid; Sysmis: Not administered,School Questionnaire,✓,,Both,,Instructional Days,
ACBLG04B,GEN\TOTAL INSTRUCTIONAL TIME (2024),GEN\TOTAL INSTRUCTIONAL TIME,,999: Omitted or invalid; Sysmis: Not administered,School Questionnaire,,✓,Both,,Instructional Days,
ACDLGTIHY,Total Instructional Hours per Year (2024),Total Instructional Hours per Year,,9999: Omitted or invalid; SYSMIS: Not administered,School Questionnaire,,✓,2024 only,,Instructional Days,
ASBM02A,MAT\AGREE\ENJOY LEARNING MATHEMATICS (2023),MAT\AGREE\ENJOY LEARNING MATHEMATICS,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,✓,,Both,,Maths Attitude,
ASBLM02A,MAT\AGREE\ENJOY LEARNING MATHEMATICS (2024),MAT\AGREE\ENJOY LEARNING MATHEMATICS,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,,✓,Both,,Maths Attitude,
ASBM05E,MAT\AGREE\GOOD AT WORKING OUT PROBLEMS (2023),MAT\AGREE\GOOD AT WORKING OUT PROBLEMS,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,✓,,Both,,Maths Attitude,
ASBLM05E,MAT\AGREE\GOOD AT WORKING OUT PROBLEMS (2024),MAT\AGREE\GOOD AT WORKING OUT PROBLEMS,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,,✓,Both,,Maths Attitude,
ASBM05B,MAT\AGREE\HARDER FOR ME THAN FOR OTHERS (2023),MAT\AGREE\HARDER FOR ME THAN FOR OTHERS,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,✓,,Both,,Maths Attitude,
ASBLM05B,MAT\AGREE\HARDER FOR ME THAN FOR OTHERS (2024),MAT\AGREE\HARDER FOR ME THAN FOR OTHERS,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,,✓,Both,,Maths Attitude,
ASBM05C,MAT\AGREE\JUST NOT GOOD IN MATH (2023),MAT\AGREE\JUST NOT GOOD IN MATH,1: Agree a lot; 2: Agree a little; 3: Disagree a little; 4: Disagree a lot,9: Omitted or invalid; Sysmis: Not administered,Student Questionnaire,✓,,Both,,Maths Attitude,
